movieId,title,genres,year,rating_avg,rating_count,rating_std,title_clean,genre_count,popularity_category,decade
1,Toy Story (1995),Animation|Children's|Comedy,1995,4.146846413095811,2077.0,0.8523490842765862,Toy Story,3,Blockbuster,1990
2,Jumanji (1995),Adventure|Children's|Fantasy,1995,3.20114122681883,701.0,0.983172043525115,Jumanji,3,Blockbuster,1990
3,Grumpier Old Men (1995),Comedy|Romance,1995,3.01673640167364,478.0,1.0717118389753955,Grumpier Old Men,2,Blockbuster,1990
4,Waiting to Exhale (1995),Comedy|Drama,1995,2.7294117647058824,170.0,1.0133807183552217,Waiting to Exhale,2,Popular,1990
5,Father of the Bride Part II (1995),Comedy,1995,3.0067567567567566,296.0,1.0250861666741644,Father of the Bride Part II,1,Blockbuster,1990
6,Heat (1995),Action|Crime|Thriller,1995,3.8787234042553194,940.0,0.9345882716883003,Heat,3,Blockbuster,1990
7,Sabrina (1995),Comedy|Romance,1995,3.410480349344978,458.0,0.9799183799386929,Sabrina,2,Blockbuster,1990
8,Tom and Huck (1995),Adventure|Children's,1995,3.014705882352941,68.0,0.9540588401207981,Tom and Huck,2,Popular,1990
9,Sudden Death (1995),Action,1995,2.656862745098039,102.0,1.0482904332577478,Sudden Death,1,Popular,1990
10,GoldenEye (1995),Action|Adventure|Thriller,1995,3.5405405405405403,888.0,0.8912328467244989,GoldenEye,3,Blockbuster,1990
11,"American President, The (1995)",Comedy|Drama|Romance,1995,3.7938044530493706,1033.0,0.8643904675139522,"American President, The",3,Blockbuster,1990
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,2.3625,160.0,1.2052688314126616,Dracula: Dead and Loving It,2,Popular,1990
13,Balto (1995),Animation|Children's,1995,3.2626262626262625,99.0,1.055460616980621,Balto,2,Popular,1990
14,Nixon (1995),Drama,1995,3.542483660130719,153.0,0.8734906388238118,Nixon,1,Popular,1990
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,2.458904109589041,146.0,1.2212300883423444,Cutthroat Island,3,Popular,1990
16,Casino (1995),Drama|Thriller,1995,3.7932551319648096,682.0,0.9050754048198126,Casino,2,Blockbuster,1990
17,Sense and Sensibility (1995),Drama|Romance,1995,4.027544910179641,835.0,0.904535909905845,Sense and Sensibility,2,Blockbuster,1990
18,Four Rooms (1995),Thriller,1995,3.337579617834395,157.0,1.0162408111508667,Four Rooms,1,Popular,1990
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,2.480719794344473,389.0,1.1787480236425403,Ace Ventura: When Nature Calls,1,Blockbuster,1990
20,Money Train (1995),Action,1995,2.5375,160.0,0.9034350937136875,Money Train,1,Popular,1990
21,Get Shorty (1995),Action|Comedy|Drama,1995,3.6238938053097347,1356.0,0.9348464525371945,Get Shorty,3,Blockbuster,1990
22,Copycat (1995),Crime|Drama|Thriller,1995,3.3492063492063493,378.0,0.9770642460255302,Copycat,3,Blockbuster,1990
23,Assassins (1995),Thriller,1995,2.857142857142857,126.0,1.0017128188400959,Assassins,1,Popular,1990
24,Powder (1995),Drama|Sci-Fi,1995,3.1794871794871793,624.0,1.0674653346155252,Powder,2,Blockbuster,1990
25,Leaving Las Vegas (1995),Drama|Romance,1995,3.6510204081632653,980.0,1.0935080878969552,Leaving Las Vegas,2,Blockbuster,1990
26,Othello (1995),Drama,1995,3.53,100.0,0.9476712552783313,Othello,1,Popular,1990
27,Now and Then (1995),Drama,1995,2.9344262295081966,61.0,0.9809664020583034,Now and Then,1,Popular,1990
